FID	place_name	category1	dem_RANGE	dem_MEAN	fac_MEAN	hdis_MIN	hdis_MEAN	gradient_MEAN	relief_MEAN	roughness_MEAN	vdis_MIN	vdis_MEAN
15429	¤f´ò	´ò	629.00 	1344.53 	21.91 	0.00 	780.50 	32.22 	690.26 	0.55 	0.00 	291.10 
15430	¤f´ò¥J	´ò	125.00 	138.76 	149.18 	0.00 	282.12 	8.33 	184.81 	0.12 	0.00 	31.54 
15454	¤j´ò	´ò	146.00 	122.36 	16.46 	200.00 	896.14 	16.64 	140.94 	0.25 	0.00 	40.76 
15455	¤j´ò	´ò	307.00 	149.06 	977.72 	0.00 	279.98 	23.86 	308.24 	0.40 	0.00 	77.53 
15456	¤j´ò	´ò	34.00 	250.80 	19.55 	280.00 	1227.84 	2.27 	49.61 	0.03 	0.00 	25.81 
15457	¤j´ò	´ò	23.00 	250.81 	25.56 	401.99 	1293.10 	1.74 	42.09 	0.02 	0.00 	18.42 
15458	¤j´ò	´ò	33.00 	25.86 	153.76 	0.00 	425.22 	1.47 	32.97 	0.02 	0.00 	12.13 
15459	¤j´ò	´ò	300.00 	281.84 	29.09 	0.00 	680.29 	18.02 	328.51 	0.28 	0.00 	120.66 
15460	¤j´ò	´ò	393.00 	198.34 	223.07 	0.00 	562.10 	17.19 	357.70 	0.28 	0.00 	122.12 
15461	¤j´ò	´ò	575.00 	880.29 	36.78 	0.00 	626.74 	25.32 	613.73 	0.42 	0.00 	195.43 
15464	¤j´ò©³	´ò	574.00 	619.27 	26.25 	0.00 	707.81 	27.60 	585.31 	0.46 	0.00 	189.77 
15495	¤j´ò±í	´ò	590.00 	712.41 	18.82 	0.00 	771.54 	27.96 	520.04 	0.46 	0.00 	237.67 
15508	¤º¯ó´ò	´ò	229.00 	37.00 	6.88 	40.00 	766.40 	21.94 	231.83 	0.36 	0.00 	47.65 
15523	«C¯ó´ò	´ò	816.00 	813.07 	108.79 	0.00 	582.02 	31.13 	732.99 	0.54 	0.00 	299.75 
15539	¥V´ò©³	´ò	791.00 	727.45 	19.85 	126.49 	1069.42 	26.08 	666.32 	0.45 	0.00 	237.50 
15583	ªF¯ó´ò	´ò	8.00 	9.42 	72.09 	0.00 	612.76 	0.51 	8.76 	0.01 	0.00 	2.04 
15623	¨¤´ò	´ò	282.00 	165.45 	27.32 	0.00 	795.63 	12.76 	247.30 	0.20 	0.00 	73.76 
15651	¯ó´ò	´ò	9.00 	8.99 	1477.14 	0.00 	446.06 	0.62 	13.20 	0.01 	0.00 	1.43 
15652	¯ó´ò	´ò	8.00 	9.99 	96.89 	0.00 	354.86 	0.57 	6.95 	0.01 	0.00 	0.83 
15653	¯ó´ò¤l	´ò	770.00 	536.76 	164.75 	0.00 	573.24 	28.46 	697.71 	0.50 	0.00 	210.55 
15654	¯ó´ò¼d	´ò	3.00 	1.10 	32.76 	0.00 	403.67 	0.77 	3.82 	0.01 	0.00 	0.96 
15745	³À´ò¤f	´ò	278.00 	339.07 	168.35 	0.00 	413.40 	14.08 	262.26 	0.22 	0.00 	63.63 
15837	¦è¥­´ò¥J	´ò	7.00 	1.30 	144.27 	0.00 	318.69 	0.59 	5.20 	0.01 	0.00 	0.78 
15992	¤U¬À¯]´ò	´ò	110.00 	71.28 	5314.62 	0.00 	267.07 	7.12 	122.88 	0.11 	0.00 	20.51 
16159	ªF«á´ò	´ò	14.00 	11.23 	3295.37 	0.00 	345.91 	0.92 	12.60 	0.01 	0.00 	4.08 
16161	ªF¬ü´ò	´ò	96.00 	137.52 	58.94 	0.00 	894.58 	3.66 	97.30 	0.05 	0.00 	28.02 
16222	©ú´ò§O¹Ö	´ò	47.00 	18.91 	136.61 	0.00 	296.53 	2.06 	47.53 	0.03 	0.00 	4.13 
16334	?¦Ë´ò	´ò	67.00 	41.56 	1997.20 	0.00 	268.87 	3.98 	69.00 	0.06 	0.00 	15.17 
16335	?¦Ë´ò¥J	´ò	33.00 	33.84 	1824.31 	0.00 	342.11 	2.44 	32.84 	0.03 	0.00 	7.13 
16351	Æ[­µ¾ð´ò	´ò	372.00 	1117.84 	160.47 	0.00 	241.54 	18.40 	513.21 	0.29 	0.00 	91.04 
16366	?¤û´ò	´ò	277.00 	304.90 	34.18 	144.22 	843.71 	18.79 	318.20 	0.30 	0.00 	70.27 
16387	?´ò	´ò	361.00 	529.23 	87.30 	0.00 	279.11 	19.63 	425.52 	0.32 	0.00 	73.62 
16492	ÆPªd´ò	´ò	418.00 	287.69 	58.87 	0.00 	614.09 	23.60 	367.37 	0.38 	0.00 	105.38 
16532	Ãè´ò	´ò	297.00 	163.12 	366.18 	0.00 	390.26 	17.02 	329.94 	0.28 	0.00 	82.74 
16566	Ä_¯]´ò	´ò	27.00 	31.64 	141.19 	0.00 	218.44 	1.13 	25.69 	0.02 	0.00 	3.98 
16947	ÀØ´ò¬Ó®a	´ò	80.00 	290.51 	40.53 	0.00 	762.47 	3.76 	72.21 	0.05 	0.00 	34.62 
16970	ÁTºß´ò	´ò	166.00 	160.32 	6626.92 	0.00 	381.66 	7.80 	131.72 	0.12 	0.00 	28.41 
16971	ÁTºß´ò	´ò	116.00 	84.53 	39.10 	0.00 	553.02 	10.65 	109.56 	0.15 	0.00 	42.65 
17008	Àsª@´ò	´ò	85.00 	45.98 	45.96 	0.00 	571.90 	6.69 	73.19 	0.11 	0.00 	14.47 
17044	Às´ò	´ò	149.00 	257.22 	219.46 	0.00 	368.68 	14.58 	227.88 	0.23 	0.00 	34.27 
17045	Às´ò¤f	´ò	385.00 	382.50 	52.10 	0.00 	362.42 	19.93 	438.27 	0.32 	0.00 	117.83 
17076	¿¼¤l´ò	´ò	481.00 	494.98 	78.24 	0.00 	347.95 	25.10 	476.25 	0.42 	0.00 	133.22 
17202	¿³¤Æ´ò	´ò	669.00 	592.32 	299.45 	0.00 	569.05 	30.68 	613.46 	0.52 	0.00 	216.59 
17224	¿³´ò¼d	´ò	519.00 	833.75 	46.41 	0.00 	517.56 	24.11 	629.46 	0.40 	0.00 	185.95 
17300	¾ð´òªÀ°Ï	´ò	352.00 	121.27 	86.21 	0.00 	335.13 	8.23 	298.34 	0.13 	0.00 	45.64 
17310	¾ôªO´ò	´ò	298.00 	78.69 	34.75 	0.00 	571.17 	21.58 	397.73 	0.36 	0.00 	71.96 
17331	¿P´ò§O²ø	´ò	320.00 	119.92 	8948.36 	0.00 	414.60 	17.97 	399.89 	0.32 	0.00 	56.86 
17582	¼d´ò	´ò	8.00 	5.45 	521.34 	0.00 	454.35 	0.59 	6.89 	0.01 	0.00 	1.61 
17680	»ÉÆr´ò	´ò	121.00 	191.03 	745.99 	0.00 	272.16 	6.26 	125.30 	0.09 	0.00 	21.16 
17815	»A´ò·s§ø	´ò	55.00 	25.43 	46.88 	0.00 	474.43 	3.31 	52.01 	0.05 	0.00 	7.06 
17837	¹L´ò	´ò	7.00 	4.99 	31.53 	0.00 	702.08 	0.52 	6.78 	0.01 	0.00 	3.57 
17884	¹ÅªL´ò	´ò	395.00 	628.09 	15.23 	113.14 	811.45 	24.24 	469.14 	0.40 	0.00 	199.44 
18074	·àÀY´ò	´ò	639.00 	1053.84 	405.85 	0.00 	240.37 	29.64 	675.43 	0.52 	0.00 	142.44 
18149	·t´ò	´ò	59.00 	24.76 	123.93 	0.00 	573.54 	2.63 	64.76 	0.03 	0.00 	5.06 
18170	·¨´ò·s«°	´ò	29.00 	122.89 	84.75 	0.00 	294.10 	1.71 	30.87 	0.02 	0.00 	15.25 
18284	·s´ò	´ò	7.00 	9.01 	302.44 	0.00 	607.28 	0.47 	7.50 	0.01 	0.00 	1.49 
18408	µt¤û´ò	´ò	118.00 	68.48 	36.06 	0.00 	765.55 	8.83 	129.73 	0.14 	0.00 	30.62 
18503	´ò©³À­	´ò	310.00 	523.82 	26.66 	0.00 	683.43 	18.75 	360.61 	0.30 	0.00 	138.63 
18504	´òªF	´ò	215.00 	56.20 	350.24 	0.00 	310.53 	13.06 	246.10 	0.22 	0.00 	37.25 
18523	´ò¤f	´ò	2.00 	0.26 	2.86 	40.00 	342.60 	0.62 	2.14 	0.01 	0.00 	0.22 
18524	´ò¤f	´ò	243.00 	145.21 	67.90 	0.00 	400.17 	13.15 	217.96 	0.19 	0.00 	69.52 
18525	´ò¤f	´ò	29.00 	76.23 	319.52 	0.00 	237.48 	1.50 	31.19 	0.02 	0.00 	5.79 
18528	´ò¤º	´ò	130.00 	102.34 	45.00 	0.00 	631.86 	10.11 	116.56 	0.15 	0.00 	24.73 
18529	´ò¥J	´ò	12.00 	110.66 	104.47 	0.00 	386.80 	0.87 	16.82 	0.01 	0.00 	4.07 
18530	´ò¨½	´ò	17.00 	95.58 	118.67 	0.00 	382.79 	1.06 	16.19 	0.01 	0.00 	4.97 
18531	´ò©³	´ò	538.00 	172.20 	201.21 	0.00 	504.93 	23.40 	479.40 	0.42 	0.00 	113.24 
18532	´ò©³	´ò	256.00 	304.60 	1208.38 	0.00 	267.11 	17.20 	256.51 	0.28 	0.00 	67.89 
18533	´òªF¤f	´ò	111.00 	50.20 	25.86 	0.00 	746.78 	10.75 	107.18 	0.16 	0.00 	35.01 
18534	´ò«nªÀ°Ï	´ò	35.00 	240.21 	25.90 	0.00 	765.27 	2.92 	55.46 	0.04 	0.00 	23.22 
18535	´ò«×	´ò	162.00 	185.20 	178.10 	0.00 	189.48 	10.76 	166.94 	0.17 	0.00 	26.00 
18537	´ò¶í	´ò	367.00 	366.94 	36.20 	0.00 	692.82 	22.01 	380.02 	0.36 	0.00 	91.31 
18538	´ò¸Ì	´ò	12.00 	15.56 	64.21 	0.00 	401.13 	0.58 	8.60 	0.01 	0.00 	2.09 
18539	´ò¹A·s§ø	´ò	122.00 	96.12 	2154.25 	0.00 	237.56 	13.72 	134.93 	0.21 	0.00 	33.08 
18540	´ò¿³	´ò	242.00 	530.48 	157.22 	0.00 	382.80 	14.79 	259.08 	0.24 	0.00 	76.70 
18541	´òÀØ¤G§ø	´ò	33.00 	14.93 	28.40 	572.71 	1283.46 	2.21 	29.36 	0.03 	0.00 	4.47 
18542	´òÀØ§O¹Ö	´ò	12.00 	9.65 	501.89 	0.00 	526.90 	0.91 	10.26 	0.01 	0.00 	1.79 
18543	´òÀØªÀ°Ï	´ò	111.00 	63.39 	878.15 	0.00 	314.89 	11.30 	109.19 	0.17 	0.00 	33.74 
18544	´òÀØªá¶é	´ò	80.00 	290.51 	40.53 	0.00 	762.47 	3.76 	72.21 	0.05 	0.00 	34.62 
18545	´òÀØªá¶é«°	´ò	25.00 	77.53 	73.04 	0.00 	511.43 	1.25 	23.88 	0.02 	0.00 	8.44 
18546	´òÃc	´ò	112.00 	158.85 	50.35 	0.00 	485.86 	15.20 	116.88 	0.24 	0.00 	32.15 
18548	µf¤l´ò	´ò	60.00 	34.94 	116.88 	0.00 	206.09 	6.32 	62.35 	0.09 	0.00 	9.08 
18755	²Âºß´ò	´ò	230.00 	341.38 	89.04 	0.00 	498.38 	18.12 	244.88 	0.29 	0.00 	60.78 
19076	¯]´ò	´ò	315.00 	270.18 	237.62 	0.00 	344.84 	19.58 	308.24 	0.31 	0.00 	69.27 
19077	¯]´ò	´ò	752.00 	888.96 	31.43 	0.00 	742.97 	30.04 	695.09 	0.51 	0.00 	276.09 
19078	¯]´ò	´ò	755.00 	875.21 	34.52 	0.00 	681.26 	30.61 	702.10 	0.53 	0.00 	252.39 
19082	¯cºß´ò	´ò	122.00 	44.72 	494.71 	0.00 	322.85 	14.25 	109.96 	0.22 	0.00 	25.94 
19083	¯cºß´ò	´ò	299.00 	302.08 	27.45 	0.00 	926.11 	18.04 	258.25 	0.28 	0.00 	90.91 
19084	¯cºß´ò	´ò	116.00 	84.57 	40.21 	0.00 	550.22 	10.73 	109.70 	0.15 	0.00 	42.54 
19218	¬À¯]´ò	´ò	101.00 	70.40 	5507.17 	0.00 	253.99 	7.05 	122.78 	0.11 	0.00 	19.70 
19219	¬À¯]´ò¤f	´ò	106.00 	69.90 	5155.42 	0.00 	268.21 	6.82 	122.98 	0.10 	0.00 	20.11 
19237	­X´ò	´ò	70.00 	18.20 	1109.79 	0.00 	250.19 	4.19 	59.81 	0.06 	0.00 	11.24 
19435	«á´ò	´ò	28.00 	16.32 	520.43 	0.00 	319.30 	1.81 	27.62 	0.03 	0.00 	9.03 
19436	«á´ò	´ò	19.00 	26.61 	1086.50 	0.00 	477.05 	1.80 	25.12 	0.02 	0.00 	4.73 
19437	«á´ò	´ò	312.00 	191.66 	135.75 	0.00 	677.31 	14.38 	247.90 	0.22 	0.00 	76.69 
19438	«á´ò¤º	´ò	80.00 	15.46 	402.59 	0.00 	417.98 	5.86 	72.35 	0.09 	0.00 	12.28 
19439	«á´ò¥J	´ò	172.00 	564.06 	58.81 	0.00 	339.61 	13.79 	184.75 	0.21 	0.00 	51.20 
19441	«á´òªÀ°Ï	´ò	20.00 	71.44 	110.48 	0.00 	344.20 	1.14 	22.01 	0.02 	0.00 	6.60 
19442	«á´òªÀ°Ï	´ò	119.00 	219.04 	17.11 	56.57 	918.64 	6.55 	118.42 	0.09 	0.00 	50.42 
19455	«á¾À´ò	´ò	4.00 	5.98 	685.69 	0.00 	218.16 	0.41 	3.70 	0.01 	0.00 	0.94 
19456	«á¾À´ò	´ò	7.00 	10.13 	52.34 	0.00 	479.53 	0.46 	6.37 	0.01 	0.00 	1.08 
19457	«á¾À´ò¥J	´ò	48.00 	17.40 	46.06 	0.00 	506.92 	4.38 	65.66 	0.06 	0.00 	18.23 
19458	«á¾À´ò°ê¦v	´ò	66.00 	35.84 	40.54 	0.00 	459.54 	3.71 	66.77 	0.05 	0.00 	15.39 
19507	«n¦Ë´ò	´ò	255.00 	56.11 	112.49 	0.00 	574.98 	12.12 	235.40 	0.18 	0.00 	47.00 
19549	«nÃä´ò	´ò	389.00 	815.57 	35.08 	0.00 	764.26 	20.56 	349.03 	0.34 	0.00 	95.49 
19649	«e´ò	´ò	130.00 	84.46 	34.94 	0.00 	533.13 	17.35 	151.88 	0.27 	0.00 	34.39 
19678	ªÅ´ò	´ò	313.00 	677.06 	124.70 	0.00 	742.80 	16.10 	309.22 	0.26 	0.00 	61.48 
19719	ª÷´ò	´ò	3.00 	1.38 	196.90 	0.00 	314.29 	0.51 	2.93 	0.01 	0.00 	0.83 
19720	ª÷´ò¤G§ø	´ò	48.00 	248.71 	29.30 	0.00 	685.52 	3.86 	57.29 	0.05 	0.00 	29.54 
19721	ª÷´òªÀ°Ï	´ò	30.00 	39.66 	554.22 	0.00 	425.45 	1.86 	29.07 	0.03 	0.00 	10.26 
19722	ª÷´ò·s§ø	´ò	83.00 	244.56 	27.10 	0.00 	759.80 	7.12 	82.33 	0.10 	0.00 	49.71 
19723	ª÷´òÀs²ø	´ò	30.00 	39.66 	554.22 	0.00 	425.45 	1.86 	29.07 	0.03 	0.00 	10.26 
19799	ª¯Óy´ò	´ò	110.00 	88.89 	60.25 	0.00 	764.20 	16.52 	105.07 	0.26 	0.00 	36.65 
19926	¬I­í´ò	´ò	4.00 	4.94 	47.04 	0.00 	510.58 	0.39 	3.60 	0.00 	0.00 	0.57 
19955	¼Ì¾ð´ò	´ò	538.00 	431.39 	182.97 	0.00 	377.12 	23.77 	503.63 	0.40 	0.00 	109.90 
20034	ÀY´ò	´ò	308.00 	529.81 	49.41 	0.00 	382.98 	17.54 	366.55 	0.27 	0.00 	102.60 
20043	´ò©³	´ò	32.00 	23.92 	137.16 	0.00 	471.66 	2.66 	52.18 	0.03 	0.00 	4.69 
20046	¨§¥J´ò	´ò	32.00 	23.92 	137.16 	0.00 	471.66 	2.66 	52.18 	0.03 	0.00 	4.69 
20119	¤T´òªá	´ò	32.00 	130.37 	58.98 	0.00 	343.22 	1.53 	37.88 	0.02 	0.00 	11.91 
20120	¤T´ò²ø	´ò	34.00 	121.48 	89.20 	0.00 	293.95 	1.70 	31.91 	0.02 	0.00 	14.67 
20138	¹Ú¤§´ò	´ò	82.00 	65.83 	623.17 	0.00 	275.41 	9.84 	82.42 	0.16 	0.00 	10.36 
20150	¤Ñ´ò³¡¸¨	´ò	353.00 	947.22 	69.91 	0.00 	466.47 	22.58 	429.42 	0.36 	0.00 	143.92 
20216	ºÑ´ò	´ò	422.00 	403.64 	679.40 	0.00 	250.29 	25.80 	446.94 	0.42 	0.00 	110.19 
20436	¨í¤û´ò	´ò	104.00 	79.29 	124.46 	0.00 	266.97 	10.32 	106.46 	0.16 	0.00 	26.38 
20495	¦ËªL´ò	´ò	494.00 	660.19 	19.67 	40.00 	936.75 	22.12 	550.89 	0.36 	0.00 	232.85 
20561	¤C¬P´ò	´ò	440.00 	2817.88 	12.87 	0.00 	974.46 	27.78 	580.25 	0.46 	0.00 	348.03 
20616	¤º´ò¥J	´ò	323.00 	84.08 	150.65 	0.00 	335.04 	18.18 	353.50 	0.30 	0.00 	74.03 
20669	«á´ò	´ò	14.00 	11.16 	4964.83 	0.00 	309.48 	0.96 	12.87 	0.01 	0.00 	4.08 
20723	©±¤l´ò	´ò	146.00 	345.52 	11.11 	933.81 	1553.70 	12.53 	154.98 	0.18 	11.00 	98.96 
20761	°Ì¥J´ò	´ò	310.00 	102.36 	7585.33 	0.00 	434.02 	14.60 	265.37 	0.25 	0.00 	55.66 
20851	©±¤l´ò	´ò	76.00 	66.06 	375.73 	0.00 	408.56 	3.18 	79.56 	0.05 	0.00 	12.02 
21105	µf¥J´ò	´ò	60.00 	34.94 	116.88 	0.00 	206.09 	6.32 	62.35 	0.09 	0.00 	9.08 
21311	½Þ´ò¥J²ø	´ò	407.00 	467.20 	11.80 	368.78 	1148.91 	25.72 	482.26 	0.41 	25.00 	255.66 
21328	³Â¦Ë´ò	´ò	580.00 	1171.97 	20.95 	0.00 	725.93 	27.60 	632.47 	0.45 	0.00 	230.63 
21331	¼é¦{´ò	´ò	635.00 	1158.42 	16.75 	80.00 	932.46 	28.61 	625.27 	0.49 	0.00 	228.98 
21334	¤º´ò	´ò	728.00 	1194.32 	16.86 	113.14 	1000.10 	30.69 	693.43 	0.54 	0.00 	317.34 
21399	¥~´ò	´ò	23.00 	5.85 	763.77 	0.00 	372.77 	1.78 	21.57 	0.02 	0.00 	5.45 
21419	¤j´ò	´ò	210.00 	213.60 	102.34 	0.00 	411.65 	11.99 	203.19 	0.18 	0.00 	64.26 
21445	¸ª®°´ò	´ò	445.00 	231.04 	54.76 	0.00 	586.59 	15.04 	380.91 	0.24 	0.00 	73.22 
21446	­Ë·Ó´ò	´ò	272.00 	256.20 	34.93 	0.00 	670.78 	13.11 	322.05 	0.20 	0.00 	84.65 
21466	¤j´ò	´ò	310.00 	356.85 	41.44 	0.00 	493.55 	24.59 	307.59 	0.39 	0.00 	126.20 
21622	¤jÔ³´ò	´ò	333.00 	102.51 	28.44 	0.00 	797.12 	11.65 	331.57 	0.18 	0.00 	89.06 
21654	­·Âd¤æ´ò	´ò	437.00 	369.42 	11.39 	594.64 	1370.99 	26.66 	477.89 	0.44 	20.00 	250.21 
21713	¤º´ò	´ò	58.00 	31.45 	17.86 	40.00 	947.72 	5.91 	55.38 	0.09 	0.00 	17.59 
21739	íB¥J´ò	´ò	58.00 	29.94 	60.94 	0.00 	729.06 	6.18 	62.76 	0.10 	0.00 	14.92 
21802	Àt¥J´ò	´ò	139.00 	106.84 	70.85 	0.00 	516.42 	11.99 	132.68 	0.18 	0.00 	39.79 
21807	´ò©³	´ò	27.00 	25.61 	81.04 	0.00 	369.56 	2.01 	29.10 	0.03 	0.00 	7.51 
21816	¤j´ò	´ò	178.00 	88.10 	282.46 	0.00 	328.72 	7.00 	171.49 	0.11 	0.00 	22.38 
21817	¤j´ò	´ò	209.00 	51.99 	65.33 	0.00 	485.81 	8.92 	191.12 	0.14 	0.00 	36.53 
21885	¤º´ò¥J¤K¥ÒÀY	´ò	17.00 	15.88 	150.60 	0.00 	240.19 	1.20 	30.69 	0.02 	0.00 	3.28 
21928	¤j´ò	´ò	338.00 	218.56 	62.66 	0.00 	711.60 	17.66 	306.26 	0.28 	0.00 	77.87 
21945	«á´ò	´ò	21.00 	51.27 	61.12 	0.00 	418.21 	1.17 	23.24 	0.02 	0.00 	8.14 
22014	¤¤µf¤l´ò	´ò	90.00 	99.09 	163.36 	0.00 	404.85 	3.45 	77.58 	0.05 	0.00 	17.63 
22018	ÀY´ò	´ò	83.00 	157.00 	50.32 	0.00 	703.06 	3.08 	79.57 	0.04 	0.00 	19.07 
22024	¥|´ò²ø	´ò	29.00 	136.95 	60.92 	0.00 	291.19 	1.30 	31.19 	0.02 	0.00 	10.98 
22025	¤W¥|´ò	´ò	53.00 	143.03 	51.80 	0.00 	547.93 	1.56 	47.75 	0.02 	0.00 	11.58 
22028	¤U¥|´ò	´ò	33.00 	111.91 	90.41 	0.00 	378.33 	1.79 	33.81 	0.02 	0.00 	14.22 
22031	¥|´ò§À	´ò	33.00 	99.38 	168.09 	0.00 	290.97 	1.76 	33.58 	0.02 	0.00 	8.39 
22094	«á´ò	´ò	42.00 	135.79 	63.40 	0.00 	431.87 	2.50 	41.66 	0.03 	0.00 	12.30 
22298	¯Q¥e´ò	´ò	87.00 	67.46 	72.48 	0.00 	389.68 	12.70 	83.16 	0.19 	0.00 	21.63 
22326	¯Q¥e´ò	´ò	87.00 	67.46 	72.48 	0.00 	389.68 	12.70 	83.16 	0.19 	0.00 	21.63 
22348	·O´ò·s«°	´ò	110.00 	180.00 	56.81 	0.00 	294.93 	4.25 	95.39 	0.07 	0.00 	41.64 
22645	¥~´ò¥J	´ò	331.00 	446.12 	46.38 	0.00 	399.30 	15.21 	292.67 	0.24 	0.00 	75.63 
22649	¤º´ò	´ò	425.00 	690.17 	365.56 	0.00 	224.86 	17.18 	404.60 	0.28 	0.00 	82.97 
22654	¦è¶Õ´ò	´ò	488.00 	844.90 	303.47 	0.00 	479.88 	21.55 	500.33 	0.35 	0.00 	131.47 
22666	¤¤´ò	´ò	324.00 	480.46 	617.83 	0.00 	164.64 	18.43 	308.63 	0.30 	0.00 	65.87 
22736	«á©³´ò	´ò	6.00 	16.54 	53.77 	0.00 	339.67 	0.53 	5.41 	0.01 	0.00 	1.65 
22753	¤U¼Ì´ò	´ò	664.00 	683.30 	37.29 	0.00 	991.94 	27.48 	680.04 	0.47 	0.00 	185.24 
22754	¤¤¼Ì´ò	´ò	782.00 	754.22 	31.26 	113.14 	1146.31 	29.89 	706.45 	0.52 	0.00 	222.29 
22757	´ò©³	´ò	19.00 	24.27 	1309.70 	0.00 	214.48 	1.47 	16.74 	0.02 	0.00 	2.65 
22764	¹Ú´ò	´ò	395.00 	292.39 	39.04 	0.00 	579.19 	22.70 	411.11 	0.37 	0.00 	136.92 
22771	´ò©³	´ò	478.00 	458.08 	65.17 	0.00 	408.64 	20.95 	523.65 	0.34 	0.00 	138.21 
22774	¤j´ò	´ò	19.00 	27.65 	479.83 	0.00 	397.27 	1.40 	17.09 	0.02 	0.00 	4.89 
22778	ÀA´ò¸}	´ò	538.00 	494.46 	19.19 	160.00 	976.16 	21.92 	560.06 	0.35 	8.00 	230.28 
22784	¥~´ò	´ò	116.00 	136.43 	274.86 	0.00 	264.36 	13.06 	124.44 	0.20 	0.00 	27.38 
22846	¼Ì¾ð´ò	´ò	798.00 	1237.67 	64.03 	0.00 	291.74 	28.91 	692.31 	0.49 	0.00 	159.39 
22850	´ò±í©³	´ò	594.00 	1161.76 	16.21 	144.22 	748.95 	32.48 	662.92 	0.56 	0.00 	290.02 
22891	´ò¤l¤º	´ò	11.00 	8.11 	26.46 	0.00 	676.05 	0.47 	10.62 	0.01 	0.00 	1.64 
22903	«á´ò	´ò	9.00 	6.86 	100.47 	0.00 	284.27 	0.91 	8.88 	0.01 	0.00 	1.42 
22906	¤U¤f´ò	´ò	5.00 	3.72 	51.43 	0.00 	381.89 	0.58 	4.36 	0.01 	0.00 	2.02 
22910	·s¤f´ò	´ò	5.00 	3.96 	154.14 	0.00 	380.13 	0.67 	4.58 	0.01 	0.00 	1.69 
22927	«Oªø´ò	´ò	4.00 	5.41 	44.55 	0.00 	564.60 	0.44 	4.69 	0.01 	0.00 	0.62 
22939	¤¤´ò	´ò	4.00 	5.05 	42.08 	0.00 	543.48 	0.41 	3.84 	0.01 	0.00 	0.59 
22963	´ò¥J¤º	´ò	7.00 	6.31 	1545.38 	0.00 	455.90 	0.66 	5.88 	0.01 	0.00 	2.22 
23022	¤º´ò¤l	´ò	140.00 	218.24 	181.86 	0.00 	262.71 	11.52 	166.48 	0.18 	0.00 	34.40 
23212	®ü´ò	´ò	19.00 	15.23 	122.33 	0.00 	384.13 	1.50 	25.45 	0.02 	0.00 	6.85 
23451	³\­í´ò	´ò	61.00 	60.22 	39.26 	0.00 	501.69 	6.91 	66.15 	0.11 	0.00 	14.97 
23778	«n´ò	´ò	17.00 	17.64 	128.02 	0.00 	384.78 	1.75 	18.61 	0.02 	0.00 	6.11 
23790	¤U´ò	´ò	250.00 	107.55 	218.54 	0.00 	270.36 	18.27 	237.66 	0.30 	0.00 	72.33 
23791	¤U´ò	´ò	4.00 	4.74 	42.31 	0.00 	457.84 	0.44 	3.52 	0.01 	0.00 	0.68 
23792	¤U´ò	´ò	725.00 	1046.49 	15.12 	393.95 	1166.82 	31.21 	687.35 	0.52 	0.00 	343.22 
23998	¥Õ°Ì´òÉÜ	´ò	321.00 	87.53 	32.61 	0.00 	715.51 	17.55 	269.14 	0.28 	0.00 	66.93 
24301	¤W®ü´ò	´ò	18.00 	12.87 	1609.37 	0.00 	353.47 	1.70 	20.46 	0.02 	0.00 	6.13 
24317	¶ê¼[¥J´ò	´ò	762.00 	684.34 	27.70 	0.00 	878.12 	26.09 	641.73 	0.45 	0.00 	188.12 
24321	¶ê¼[¥J´ò	´ò	762.00 	684.34 	27.70 	0.00 	878.12 	26.09 	641.73 	0.45 	0.00 	188.12 
24330	½Þ¼Ñ´ò	´ò	223.00 	167.77 	308.02 	0.00 	287.97 	14.31 	267.57 	0.23 	0.00 	46.42 
24545	¤j´ò	´ò	293.00 	361.78 	70.70 	0.00 	304.38 	27.11 	290.88 	0.47 	0.00 	82.73 
24623	´ò¥J©³	´ò	99.00 	181.13 	41.59 	0.00 	850.56 	3.11 	98.35 	0.04 	0.00 	29.76 
24943	¾Ä°_´ò	´ò	288.00 	96.54 	437.35 	0.00 	270.20 	12.46 	285.60 	0.20 	0.00 	46.39 
25066	¤U´ò	´ò	219.00 	122.61 	174.36 	0.00 	231.79 	9.83 	260.59 	0.17 	0.00 	30.19 
25070	¤EË|´ò	´ò	216.00 	202.37 	6158.51 	0.00 	453.73 	16.27 	208.53 	0.27 	0.00 	53.74 
25073	¤EË|´ò	´ò	217.00 	203.47 	5979.15 	0.00 	467.01 	16.73 	210.68 	0.28 	0.00 	54.90 
25106	¤W´òªÀ°Ï	´ò	31.00 	128.88 	81.29 	0.00 	260.13 	1.54 	30.92 	0.02 	0.00 	12.58 
25220	´òÀY	´ò	152.00 	98.21 	298.79 	0.00 	233.55 	15.24 	139.71 	0.24 	0.00 	31.48 
25238	¤j´ò	´ò	274.00 	344.04 	509.20 	0.00 	297.24 	18.30 	265.01 	0.29 	0.00 	68.65 
25319	·àÀY´ò	´ò	198.00 	141.22 	58.03 	0.00 	381.61 	18.01 	196.71 	0.28 	0.00 	82.38 
25321	´ò¥J©³	´ò	40.00 	11.08 	70.14 	0.00 	372.95 	2.37 	47.89 	0.04 	0.00 	4.03 
25735	´ò©³	´ò	68.00 	37.95 	3352.07 	0.00 	125.12 	8.88 	85.09 	0.13 	0.00 	12.87 
25844	¤j´ò	´ò	274.00 	344.04 	509.20 	0.00 	297.24 	18.30 	265.01 	0.29 	0.00 	68.65 
